Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100uF","CP_Elec_6.3x5.4",96.488806,-86.934306,0.000000,top
"C11","1000uF 25V","CP_Elec_10x10.5",122.079206,-54.658149,0.000000,top
"C12","1000uF 25V","CP_Elec_10x10.5",120.000000,-85.698884,0.000000,top
"D1","SS34","D_SMA",124.000000,-103.000000,-90.000000,top
"D2","BAT54S","SOT-23",91.000000,-94.000000,0.000000,top
"D3","Red","D_0805",79.694184,-69.515769,90.000000,top
"J1","DC005-T25","BarrelJack_Horizontal",131.696898,-97.000000,180.000000,top
"J2","KH-TYPE-C-16P (Kinghelm)","KINGHELM_KH-TYPE-C-16P",79.969556,-94.764270,-90.000000,top
"J3","Conn_01x08","CONN-TH_8P-P3.50_JL271R-35008G01",135.303352,-76.218518,90.000000,top
"R1","5.1K","R_0402_1005Metric",86.527030,-93.187434,180.000000,top
"R2","22R","R_0402_1005Metric",83.000000,-73.765100,0.000000,top
"R3","22R","R_0402_1005Metric",83.000000,-72.524078,0.000000,top
"R4","5.1K","R_0402_1005Metric",86.527030,-96.524813,180.000000,top
"SW1","RESET","SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7",85.456551,-79.401712,90.000000,top
"SW2","BOOT","SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7",102.613499,-79.401712,90.000000,top
"U2","AP2112K-3.3","SOT-23-5",95.696663,-80.702787,0.000000,top
"U3","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",94.000000,-65.500000,0.000000,top
"U4","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.400000,-62.587500,0.000000,top
"U5","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.400000,-68.952500,0.000000,top
"U6","ISO7760DBQ","SSOP-16_3.9x4.9mm_P0.635mm",110.400000,-75.587500,0.000000,top
"U7","AMS1117-3.3","SOT-223-3_TabPin2",110.925345,-53.957427,180.000000,top
"U8","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",122.000000,-65.545950,90.000000,top
"U9","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",122.000000,-75.139034,90.000000,top
"U10","TMP235","SOT-353_SC-70-5",105.171651,-56.951180,-90.000000,top
"U11","ACS723xLCTR-05AB","SOIC-8_3.9x4.9mm_P1.27mm",109.000000,-84.635000,180.000000,top
